LCNS_NO,BSSH_NM,CHNG_DT,CHNG_PRVNS,INDUTY_CD_NM,SITE_ADDR,CHNG_BF_CN,CHNG_AF_CN,TELNO,DB_EXISTS,DB_LAST_EVENT_DATE,IS_MISSED,MISSED_REASON
20140376045,(주) 임어전씨 수제버거 전곡역지점,20240925,변경민원,일반음식점,경기도 연천군 전곡읍 온골로 50-1,박**,박**,0318322070,Y,20240925,N,NONE
20140376045,(주) 임어전씨 수제버거 전곡역지점,20240807,변경민원,일반음식점,경기도 연천군 전곡읍 온골로 50-1,김**,박**,0318322070,Y,20240925,N,NONE
20220648263,"(주)논산타워 김종구식맛치킨, 전기바베큐 옛날통닭 논산반월점",20240923,변경민원,일반음식점,충청남도 논산시 중앙로 464(논산타워 1층 107호 반월동),충청남도 논산시 반월동 66-1 논산타워 \n 충청남도 논산시 중앙로 464(논산타워 1층 103호 반월동),"충청남도 논산시 반월동 66-1 논산타워 \n 충청남도 논산시 중앙로 464(논산타워 1층 102,103호 반월동)",0417348999,Y,20251013,N,NONE
20220648263,"(주)논산타워 김종구식맛치킨, 전기바베큐 옛날통닭 논산반월점",20240923,변경민원,일반음식점,충청남도 논산시 중앙로 464(논산타워 1층 107호 반월동),(주)논산타워 프랭크버거 논산1호점,"(주)논산타워 김종구식맛치킨, 전기바베큐 옛날통닭 논산반월점",0417348999,Y,20251013,N,NONE
19960345008,(유)한신코리아 항아리 누룽지 백숙,20240919,변경민원,일반음식점,"경기도 하남시 서하남로 376(1, 2, 3층 춘궁동)",온누리누룽지백숙 하남점,(유)한신코리아 항아리 누룽지 백숙,0317927011,Y,20240919,N,NONE
19960345008,(유)한신코리아 항아리 누룽지 백숙,20240919,변경민원,일반음식점,"경기도 하남시 서하남로 376(1, 2, 3층 춘궁동)",문**,장**,0317927011,Y,20240919,N,NONE
19960345008,(유)한신코리아 항아리 누룽지 백숙,20140106,변경민원,일반음식점,"경기도 하남시 서하남로 376(1, 2, 3층 춘궁동)",문***************************,문**,0317927011,Y,20240919,N,NONE
20210263304,(HK)푸드,20240913,변경민원,일반음식점,세종특별자치시 조치원읍 세종로 2514(1층),덕팔이 통닭,할미:미,0448627953,Y,20250121,N,NONE
20070202799,(갓쌩푸드)부평닭강정,20240909,변경민원,일반음식점,"인천광역시 부평구 경원대로 1362(부평동,지예타워 101호)",원조신포닭강정,(갓쌩푸드)부평닭강정,0325055252,Y,20240909,N,NONE
20070202799,(갓쌩푸드)부평닭강정,20101111,변경민원,일반음식점,"인천광역시 부평구 경원대로 1362(부평동,지예타워 101호)",BBQ치킨엔비어,원조신포닭강정,0325055252,Y,20240909,N,NONE
